Gene stable ID,Transcript stable ID,Transcript stable ID version,Gene stable ID version
ENSG00000149806,ENST00000529639,ENST00000529639.6,ENSG00000149806.11
ENSG00000149806,ENST00000531743,ENST00000531743.5,ENSG00000149806.11
ENSG00000149806,ENST00000525297,ENST00000525297.5,ENSG00000149806.11
ENSG00000149806,ENST00000527548,ENST00000527548.5,ENSG00000149806.11
ENSG00000149806,ENST00000531357,ENST00000531357.1,ENSG00000149806.11
ENSG00000149806,ENST00000279259,ENST00000279259.7,ENSG00000149806.11
ENSG00000149806,ENST00000529259,ENST00000529259.1,ENSG00000149806.11
ENSG00000149806,ENST00000526555,ENST00000526555.5,ENSG00000149806.11
ENSG00000149806,ENST00000434372,ENST00000434372.2,ENSG00000149806.11
ENSG00000147403,ENST00000492572,ENST00000492572.5,ENSG00000147403.18
ENSG00000147403,ENST00000479366,ENST00000479366.1,ENSG00000147403.18
ENSG00000147403,ENST00000436473,ENST00000436473.5,ENSG00000147403.18
ENSG00000147403,ENST00000344746,ENST00000344746.8,ENSG00000147403.18
ENSG00000147403,ENST00000489200,ENST00000489200.5,ENSG00000147403.18
ENSG00000147403,ENST00000491035,ENST00000491035.5,ENSG00000147403.18
ENSG00000147403,ENST00000369817,ENST00000369817.7,ENSG00000147403.18
ENSG00000147403,ENST00000458500,ENST00000458500.5,ENSG00000147403.18
ENSG00000147403,ENST00000485196,ENST00000485196.5,ENSG00000147403.18
ENSG00000147403,ENST00000482732,ENST00000482732.1,ENSG00000147403.18
ENSG00000147403,ENST00000467168,ENST00000467168.5,ENSG00000147403.18
ENSG00000147403,ENST00000406022,ENST00000406022.6,ENSG00000147403.18
ENSG00000147403,ENST00000451365,ENST00000451365.1,ENSG00000147403.18
ENSG00000147403,ENST00000449494,ENST00000449494.5,ENSG00000147403.18
ENSG00000147403,ENST00000427682,ENST00000427682.5,ENSG00000147403.18
ENSG00000147403,ENST00000428169,ENST00000428169.1,ENSG00000147403.18
ENSG00000198755,ENST00000322203,ENST00000322203.7,ENSG00000198755.11
ENSG00000198755,ENST00000467020,ENST00000467020.5,ENSG00000198755.11
ENSG00000198755,ENST00000490335,ENST00000490335.4,ENSG00000198755.11
ENSG00000198755,ENST00000464112,ENST00000464112.5,ENSG00000198755.11
ENSG00000198755,ENST00000478340,ENST00000478340.2,ENSG00000198755.11
ENSG00000165496,ENST00000298283,ENST00000298283.5,ENSG00000165496.5
ENSG00000142676,ENST00000374550,ENST00000374550.8,ENSG00000142676.14
ENSG00000142676,ENST00000443624,ENST00000443624.6,ENSG00000142676.14
ENSG00000142676,ENST00000643754,ENST00000643754.2,ENSG00000142676.14
ENSG00000142676,ENST00000467075,ENST00000467075.2,ENSG00000142676.14
ENSG00000142676,ENST00000458455,ENST00000458455.2,ENSG00000142676.14
ENSG00000142676,ENST00000482370,ENST00000482370.2,ENSG00000142676.14
ENSG00000197958,ENST00000497825,ENST00000497825.5,ENSG00000197958.13
